Route,Cost,Region
"['Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Countdown St Lukes']",538.040625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Countdown Three Kings']",546.4549999999999,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Countdown Victoria Street West']",649.7406249999999,Central Region
"['Countdown Blockhouse Bay', 'Countdown Newmarket', 'Countdown Onehunga']",596.2406249999999,Central Region
"['Countdown Blockhouse Bay', 'Countdown Newmarket', 'Countdown Ponsonby']",606.321875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Newmarket', 'Countdown Pt Chevalier']",634.6737499999999,Central Region
"['Countdown Blockhouse Bay', 'Countdown Newmarket', 'Countdown St Lukes']",570.873125,Central Region
"['Countdown Blockhouse Bay', 'Countdown Newmarket', 'Countdown Three Kings']",567.3199999999999,Central Region
"['Countdown Blockhouse Bay', 'Countdown Newmarket', 'Countdown Victoria Street West']",612.9143750000001,Central Region
"['Countdown Blockhouse Bay', 'Countdown Onehunga', 'Countdown Ponsonby']",632.630625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Onehunga', 'Countdown Pt Chevalier']",650.78125,Central Region
"['Countdown Blockhouse Bay', 'Countdown Onehunga', 'Countdown St Lukes']",569.0925,Central Region
"['Countdown Blockhouse Bay', 'Countdown Onehunga', 'Countdown Three Kings']",536.0743749999999,Central Region
"['Countdown Blockhouse Bay', 'Countdown Onehunga', 'Countdown Victoria Street West']",655.885,Central Region
"['Countdown Blockhouse Bay', 'Countdown Ponsonby', 'Countdown Pt Chevalier']",613.5525,Central Region
"['Countdown Blockhouse Bay', 'Countdown Ponsonby', 'Countdown St Lukes']",545.698125,Central Region
"['Countdown Blockhouse Bay', 'Countdown Ponsonby', 'Countdown Three Kings']",579.40625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Ponsonby', 'Countdown Victoria Street West']",597.6212499999999,Central Region
"['Countdown Blockhouse Bay', 'Countdown Pt Chevalier', 'Countdown St Lukes']",550.7681249999999,Central Region
"['Countdown Blockhouse Bay', 'Countdown Pt Chevalier', 'Countdown Three Kings']",594.115625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Pt Chevalier', 'Countdown Victoria Street West']",627.3318750000001,Central Region
"['Countdown Blockhouse Bay', 'Countdown St Lukes', 'Countdown Three Kings']",503.410625,Central Region
"['Countdown Blockhouse Bay', 'Countdown St Lukes', 'Countdown Victoria Street West']",574.606875,Central Region
"['Countdown Blockhouse Bay', 'Countdown Three Kings', 'Countdown Victoria Street West']",618.72875,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn', 'Countdown Grey Lynn Central']",601.45625,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn', 'Countdown Lynfield']",583.3868749999999,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn', 'Countdown Mt Eden']",588.84125,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn', 'Countdown Mt Roskill']",590.5125,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn', 'Countdown Newmarket']",587.055625,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn', 'Countdown Onehunga']",560.27125,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn', 'Countdown Ponsonby']",552.174375,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn', 'Countdown Pt Chevalier']",591.1424999999999,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn', 'Countdown St Lukes']",528.854375,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn', 'Countdown Three Kings']",576.0375,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn', 'Countdown Victoria Street West']",585.3,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn Central', 'Countdown Lynfield']",656.1018750000001,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn Central', 'Countdown Mt Eden']",658.5325,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn Central', 'Countdown Mt Roskill']",660.20375,Central Region
"['Countdown Greenlane', 'Countdown Grey Lynn Central', 'Countdown Newmarket']",665.843125,Central Region
