Route,Cost,Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Metro Albert Street']",971.933888888889,Central Region
"['Countdown Blockhouse Bay', 'Countdown Greenlane', 'Countdown Metro Halsey Street']",947.8843750000001,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Grey Lynn Central']",1015.7024305555556,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Lynfield']",1062.367638888889,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Mt Eden']",1000.284097222222,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Mt Roskill']",1036.7017361111114,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Newmarket']",1032.4766666666667,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Onehunga']",999.7402083333334,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Pt Chevalier']",1037.471736111111,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown St Lukes']",995.7168055555555,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Metro Albert Street']",930.4172916666668,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Countdown Metro Halsey Street']",890.5387499999999,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Lynfield']",1036.2632638888888,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Mt Eden']",970.4840277777777,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Mt Roskill']",1006.9016666666668,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Newmarket']",1013.7942361111111,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Onehunga']",973.6358333333335,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Pt Chevalier']",1014.4740972222221,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown St Lukes']",965.9159722222222,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Metro Albert Street']",925.9424305555556,Central Region
"['Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Countdown Metro Halsey Street']",894.325,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown Mt Eden']",960.5733333333333,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown Mt Roskill']",943.2567361111112,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown Newmarket']",1010.2528472222222,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown Onehunga']",893.03625,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown Pt Chevalier']",995.8665277777778,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown St Lukes']",940.2347916666665,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown Metro Albert Street']",922.4002777777777,Central Region
"['Countdown Blockhouse Bay', 'Countdown Lynfield', 'Countdown Metro Halsey Street']",891.6975,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown Mt Roskill']",970.4374305555557,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown Newmarket']",970.8972916666667,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown Onehunga']",930.4264583333335,Central Region
"['Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Countdown Ponsonby']",1034.352013888889,Central Region
